Type,Local ID,Message,Field 0,Value 0,Units 0,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11
Data,0,length,message_index,65,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917335000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,11,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,66,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917365000,ms,total_elapsed_time,24.0,s,total_timer_time,24.0,s,total_strokes,11,strokes,avg_speed,1.042,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,67,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917389000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,11,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,68,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917419000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,11,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,69,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917448000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,12,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,70,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917478000,ms,total_elapsed_time,33.0,s,total_timer_time,33.0,s,total_strokes,12,strokes,avg_speed,0.758,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,71,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917511000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,11,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,72,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917541000,ms,total_elapsed_time,24.0,s,total_timer_time,24.0,s,total_strokes,12,strokes,avg_speed,1.042,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,73,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917565000,ms,total_elapsed_time,34.0,s,total_timer_time,34.0,s,total_strokes,13,strokes,avg_speed,0.735,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,74,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917599000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,12,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
